plate,unit,mainLines,minorLines
51B20928,HTX 26,34,90
51B20955,HTX 26,34,90
51B21023,HTX 26,34,90
51B21052,HTX 26,34,90
51B21057,HTX 26,34,90
51B21063,HTX 26,34,90
51B21074,HTX 26,34,90
51B21091,HTX 26,34,90
51B21093,HTX 26,34,90
51B21097,HTX 26,34,90
51B21101,HTX 26,34,90
51B21114,HTX 26,34,90
51B21133,HTX 26,34,90
51B21153,HTX 26,34,90
51B21162,HTX 26,34,90
51B21187,HTX 26,34,90
51B21191,HTX 26,34,90
51B21456,HTX 26,34,90
51B21605,HTX 26,34,90
51B21615,HTX 26,34,90
51B21625,HTX 26,34,90
51B21692,HTX 26,34,90
51B21756,HTX 26,34,90
51B21802,HTX 26,34,90
51B21815,HTX 26,34,90
51B21820,HTX 26,34,90
51B21836,HTX 26,34,90
51B21843,HTX 26,34,90
51B21850,HTX 26,34,90
51B21866,HTX 26,34,90
51B21869,HTX 26,34,90
51B21876,HTX 26,34,90
51B21880,HTX 26,34,90
51B21889,HTX 26,34,90
51B21925,HTX 26,34,90
51B21948,HTX 26,34,90
51B21954,HTX 26,34,90
51B21977,HTX 26,34,90
51B21993,HTX 26,34,90
51B21453,HTX 26,77,90
51B21648,HTX 26,77,90
51B21826,HTX 26,77,90
51B21858,HTX 26,77,90
51B21861,HTX 26,77,90
51B21881,HTX 26,77,90
51B21888,HTX 26,77,90
51B21894,HTX 26,77,90
51B21900,HTX 26,77,90
51B21922,HTX 26,77,90
51B21928,HTX 26,77,90
51B21931,HTX 26,77,90
51B21939,HTX 26,77,90
51B21958,HTX 26,77,90
51B21962,HTX 26,77,90
51B21965,HTX 26,77,90
51B21966,HTX 26,77,90
51B21989,HTX 26,77,90
51B20928,HTX 26,75,
51B20955,HTX 26,75,
51B21023,HTX 26,75,
51B21052,HTX 26,75,
51B21057,HTX 26,75,
51B21063,HTX 26,75,
51B21074,HTX 26,75,
51B21091,HTX 26,75,
51B21093,HTX 26,75,
51B21097,HTX 26,75,
51B21101,HTX 26,75,
51B21114,HTX 26,75,
51B21133,HTX 26,75,
51B21153,HTX 26,75,
51B21162,HTX 26,75,
51B21187,HTX 26,75,
51B21191,HTX 26,75,
51B21456,HTX 26,75,
51B21605,HTX 26,75,
51B21615,HTX 26,75,
51B21625,HTX 26,75,
51B21692,HTX 26,75,
51B21756,HTX 26,75,
51B21802,HTX 26,75,
51B21815,HTX 26,75,
51B21820,HTX 26,75,
51B21836,HTX 26,75,
51B21843,HTX 26,75,
51B21850,HTX 26,75,
51B21866,HTX 26,75,
51B21869,HTX 26,75,
51B21876,HTX 26,75,
51B21880,HTX 26,75,
51B21889,HTX 26,75,
51B21925,HTX 26,75,
51B21948,HTX 26,75,
51B21954,HTX 26,75,
51B21977,HTX 26,75,
51B21993,HTX 26,75,
51B27428,CTY 26,20,
51B27648,CTY 26,20,
51B27703,CTY 26,20,
51B27725,CTY 26,20,
51B27800,CTY 26,20,
51B27810,CTY 26,20,
51B27813,CTY 26,20,
51B27820,CTY 26,20,
51B27829,CTY 26,20,
51B27836,CTY 26,20,
51B27838,CTY 26,20,
51B27842,CTY 26,20,
51B27847,CTY 26,20,
51B27849,CTY 26,20,
51B27857,CTY 26,20,
51B27862,CTY 26,20,
51B27888,CTY 26,20,
51B27891,CTY 26,20,
51B27905,CTY 26,20,
51B27912,CTY 26,20,
51B27913,CTY 26,20,
51B27922,CTY 26,20,
51B27934,CTY 26,20,
51B27940,CTY 26,20,
51B27941,CTY 26,20,
51B27942,CTY 26,20,
51B27949,CTY 26,20,
51B27952,CTY 26,20,
51B27962,CTY 26,20,
51B27965,CTY 26,20,
51B27983,CTY 26,20,
51B27988,CTY 26,20,
51B27991,CTY 26,20,
51B16669,CTY 26,110,
51B16419,CTY 26,110,
51B16532,CTY 26,110,
51B16559,CTY 26,110,
51B16481,CTY 26,110,
51B16672,CTY 26,110,
51B16443,CTY 26,110,
51B16198,CTY 26,110,
51B16644,CTY 26,110,
51B16639,CTY 26,110,
51B16613,CTY 26,110,
51B16569,CTY 26,110,
51B16395,CTY 26,110,
51B16555,CTY 26,110,
51B16622,CTY 26,110,
51B16479,CTY 26,110,
51B22536,CTY 26,110,
51B22425,CTY 26,110,
51B22524,CTY 26,110,
51B30923,CTY 26,110,
51B30885,CTY 26,110,
51B30842,CTY 26,110,
51B22367,CTY 26,140,
51B22514,CTY 26,140,
51B22573,CTY 26,140,
51B22560,CTY 26,140,
51B22423,CTY 26,140,
51B22556,CTY 26,140,
51B22303,CTY 26,140,
51B22416,CTY 26,140,
51B22596,CTY 26,140,
51B22554,CTY 26,140,
51B22396,CTY 26,140,
51B22424,CTY 26,140,
51B22571,CTY 26,140,
51B30905,CTY 26,140,
51B30938,CTY 26,140,
51B16188,LH HTX VTTP,14,
51B16171,LH HTX VTTP,14,
51B16407,LH HTX VTTP,14,
51B16458,LH HTX VTTP,14,
51B16615,LH HTX VTTP,14,
51B16620,LH HTX VTTP,14,
51B16645,LH HTX VTTP,14,
51B16666,LH HTX VTTP,14,
51B16667,LH HTX VTTP,14,
51B16744,LH HTX VTTP,14,
51B16671,LH HTX VTTP,14,
51B16457,LH HTX VTTP,14,
51B16589,LH HTX VTTP,14,
51B16497,LH HTX VTTP,14,
51B16281,LH HTX VTTP,14,
51B16587,LH HTX VTTP,14,
51B1662-1,LH HTX VTTP,14,
51B16177,LH HTX VTTP,14,
51B16512,LH HTX VTTP,14,
51B16192,LH HTX VTTP,14,
51B16579,LH HTX VTTP,14,
51B16459,LH HTX VTTP,14,
51B16534,LH HTX VTTP,14,
51B16608,LH HTX VTTP,14,
51B16575,LH HTX VTTP,14,
51B16558,LH HTX VTTP,14,
51B16531,LH HTX VTTP,14,
51B16440,LH HTX VTTP,14,
51B16642,LH HTX VTTP,14,
51B16629,LH HTX VTTP,14,
51B16308,LH HTX VTTP,14,
51B16541,LH HTX VTTP,14,
53N3370,LH HTX VTTP,9,
53N3346,LH HTX VTTP,9,
53N3342,LH HTX VTTP,9,
53N3350,LH HTX VTTP,9,
53N3347,LH HTX VTTP,9,
53N3344,LH HTX VTTP,9,
53N3452,LH HTX VTTP,9,
53N3348,LH HTX VTTP,9,
53N3340,LH HTX VTTP,9,
53N3450,LH HTX VTTP,9,
53N3371,LH HTX VTTP,9,
53N3352,LH HTX VTTP,9,
53N3343,LH HTX VTTP,9,
53N3453,LH HTX VTTP,9,
53N3339,LH HTX VTTP,9,
53N3349,LH HTX VTTP,9,
53N3366,LH HTX VTTP,9,
53N3372,LH HTX VTTP,9,
53N3359,LH HTX VTTP,9,
53N4314,LH HTX VTTP,9,
53N4315,LH HTX VTTP,9,
53N4316,LH HTX VTTP,9,
53N4318,LH HTX VTTP,9,
53N4319,LH HTX VTTP,9,
51B27664,LH HTX VTTP,9,
53N8525,LH HTX VTTP,9,
53N8550,LH HTX VTTP,9,
53N8552,LH HTX VTTP,9,
53N3439,LH HTX VTTP,47,
53N3341,LH HTX VTTP,47,
53N3338,LH HTX VTTP,47,
53N3438,LH HTX VTTP,47,
53N3351,LH HTX VTTP,47,
53N3449,LH HTX VTTP,47,
53N3437,LH HTX VTTP,47,
53N3345,LH HTX VTTP,47,
53N3337,LH HTX VTTP,47,
53N3448,LH HTX VTTP,47,
53N3451,LH HTX VTTP,47,
53N3357,LH HTX VTTP,47,
53N4317,LH HTX VTTP,47,
53N4320,LH HTX VTTP,47,
53N8530,LH HTX VTTP,47,
53N8544,LH HTX VTTP,47,
53N8546,LH HTX VTTP,47,
51B04055,LH HTX VTTP,104,
51B04056,LH HTX VTTP,104,
51B04057,LH HTX VTTP,104,
51B04058,LH HTX VTTP,104,
51B04059,LH HTX VTTP,104,
51B05720,LH HTX VTTP,104,
51B05721,LH HTX VTTP,104,
51B05722,LH HTX VTTP,104,
51B05723,LH HTX VTTP,104,
51B05724,LH HTX VTTP,104,
51B05728,LH HTX VTTP,104,
51B05729,LH HTX VTTP,104,
51B00822,LH HTX VTTP,104,
51B09336,LH HTX VTTP,104,
51B09457,LH HTX VTTP,104,
51B09599,LH HTX VTTP,104,
51B09713,LH HTX VTTP,104,
51B09196,LH HTX VTTP,104,
51B08734,LH HTX VTTP,104,
51B09505,LH HTX VTTP,104,
51B11891,LH HTX VTTP,104,
51B11938,LH HTX VTTP,104,
51B12249,LH HTX VTTP,104,
51B14321,LH HTX VTTP,104,
51B14424,LH HTX VTTP,104,
51B14893,LH HTX VTTP,104,
51B17245,LH HTX VTTP,104,
51B19492,LH HTX VTTP,104,
51B19633,LH HTX VTTP,104,
51B19693,LH HTX VTTP,104,
51B19774,LH HTX VTTP,104,
51B19806,LH HTX VTTP,104,
51B19921,LH HTX VTTP,104,
51B19940,LH HTX VTTP,104,
51B19954,LH HTX VTTP,104,
51B24819,HTX Việt Thắng,22,
51B25007,HTX Việt Thắng,22,
51B25208,HTX Việt Thắng,22,
51B25228,HTX Việt Thắng,22,
51B25231,HTX Việt Thắng,22,
51B25277,HTX Việt Thắng,22,
51B25305,HTX Việt Thắng,22,
51B25306,HTX Việt Thắng,22,
51B25307,HTX Việt Thắng,22,
51B25323,HTX Việt Thắng,22,
51B25356,HTX Việt Thắng,22,
51B25358,HTX Việt Thắng,22,
51B25365,HTX Việt Thắng,22,
51B25388,HTX Việt Thắng,22,
51B25392,HTX Việt Thắng,22,
51B14674,HTX Việt Thắng,25,
51B14725,HTX Việt Thắng,25,
51B14736,HTX Việt Thắng,25,
51B15029,HTX Việt Thắng,25,
51B15077,HTX Việt Thắng,25,
51B15176,HTX Việt Thắng,25,
51B15188,HTX Việt Thắng,25,
51B15197,HTX Việt Thắng,25,
51B15226,HTX Việt Thắng,25,
51B15257,HTX Việt Thắng,25,
51B15263,HTX Việt Thắng,25,
51B15265,HTX Việt Thắng,25,
